Designator,Footprint,Quantity,Value,LCSC Part #
"AE1_2, AE1",ANT-SMD_L3.2-W1.6,2,2450AT18A100E,C89334
"C1_2, C1, C2_2, C2, C3_2, C3, C4_2, C4",0402,8,10pF,
"C10_2, C10, C11_2, C11, C13_2, C13, C15_2, C15, C16_2, C16, C20_2, C20, C23_2, C23, C24_2, C24, C5_2, C5, C6_2, C6, C8_2, C8",0402,22,100nF,
"C12_2, C12, C25_2, C25, C26_2, C26, C7_2, C7, C9_2, C9",0603,10,4.7uF,
"C14_2, C14, C17_2, C17, C18_2, C18",0402,6,1uF,
"C19_2, C19",0402,2,10nF,
"C21_2, C21",0603,2,22uF,C361061
"C22_2, C22",0805,2,47uF,C471380
"C27_2, C27",0402,2,2.2uF,
"FL1_2, FL1",FILTER-SMD_6P-L1.6-W1.0-P0.50-BL,2,MLPF-WB55-01E3,C2651048
"J1_2, J1, J2_2, J2",PinHeader_1x20_P2.54mm_Vertical,4,Conn_01x20,C42431804
"L1_2, L1",0603,2,10uH,
"L2_2, L2",0603,2,10nH,
"LED1_2, LED1",LED0402-RD_GREEN,2,XL-1005UGC,C965793
"R1_2, R1, R13_2, R13, R5_2, R5, R6_2, R6",0402,8,10K,
"R10_2, R10",0402,2,91K,
"R11_2, R11, R12_2, R12",0402,4,4.7K,
"R14_2, R14, R15_2, R15",0402,4,1.5K,
"R2_2, R2, R3_2, R3",0402,4,5.1K,
"R4_2, R4",0402,2,150,C25082
"R7_2, R7",0402,2,1.18K,
"R8_2, R8",0402,2,1.13K,
"R9_2, R9",0402,2,511K,
"SW1_2, SW1, SW2_2, SW2",SW-SMD_L3.9-W3.0-P4.45,4,SW_Push,C720477
"U1_2, U1",LED0402-FD_YELLOW,2,SZYY0402Y_C434450,C434450
"U10_2, U10",LED0402-RD,2,XL-1005UBC_C22355736,C22355736
"U2_2, U2",Texas_DRT-3,2,TPD2EUSB30,
"U3_2, U3",CRYSTAL-SMD_L2.0-W1.2,2,NX2012SA-32.768KHZ-STD-MUB-2,C891748
"U4_2, U4",QFN-68-1EP_8x8mm_P0.4mm_EP6.4x6.4mm,2,STM32WB55RGVx,C401505
"U5_2, U5",VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,2,BQ24072RGT,C140288
"U6_2, U6",SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,2,TPS631000DRLR,C5219190
"U7_2, U7",LGA-14_L3.0-W2.5-P0.50-TL,2,ICM-42688-PC,C48586483
"U8_2, U8",LGA-10_L2.0-W2.0-P0.50-TL_BMP580,2,BMP580,C22391138
"U9_2, U9",L1008,2,DFE252012P-1R0M=P2,C882955
"USB1_2, USB1",USB-C-SMD_TYPE-C-6PIN-2MD-073,2,TYPE-C 16PIN 2MD(073),C2765186
"X1_2, X1",OSC-SMD_4P-L2.0-W1.6-BL,2,NX2016SA-32MHZ-STD-CZS-5,C843260
