Designator,Mid X,Mid Y,Rotation,Layer
AE1_2,1.155,-33.5,270.0,top
AE1,1.155,-10.5,270.0,top
C1_2,9.63,-39.309384,90.0,top
C1,9.63,-16.309384,90.0,top
C10_2,23.355,-9.509384,90.0,top
C10,23.355,-32.509384,90.0,top
C11_2,23.355,-11.409384,270.0,top
C11,23.355,-34.409384,270.0,top
C12_2,24.68,-33.709384,270.0,top
C12,24.68,-10.709384,270.0,top
C13_2,10.33,-11.234384,270.0,top
C13,10.33,-34.234384,270.0,top
C14_2,9.305,-11.234384,270.0,top
C14,9.305,-34.234384,270.0,top
C15_2,20.205,-4.959384,0.0,top
C15,20.205,-27.959384,0.0,top
C16_2,20.43,-16.534384,270.0,top
C16,20.43,-39.534384,270.0,top
C17_2,20.23,-26.934384,0.0,top
C17,20.23,-3.934384,0.0,top
C18_2,38.005,-13.409384,180.0,top
C18,38.005,-36.409384,180.0,top
C19_2,27.005,-37.584384,90.0,top
C19,27.005,-14.584384,90.0,top
C2_2,5.055,-16.684384,180.0,top
C2,5.055,-39.684384,180.0,top
C20_2,31.73,-13.359384,90.0,top
C20,31.73,-36.359384,90.0,top
C21_2,32.205,-28.859384,90.0,top
C21,32.205,-5.859384,90.0,top
C22_2,26.93,-6.079384,90.0,top
C22,26.93,-29.079384,90.0,top
C23_2,32.673234,-38.45356,270.0,top
C23,32.673234,-15.45356,270.0,top
C24_2,27.005,-13.034384,0.0,top
C24,27.005,-36.034384,0.0,top
C25_2,36.28,-8.384384,90.0,top
C25,36.28,-31.384384,90.0,top
C26_2,42.28,-8.159384,90.0,top
C26,42.28,-31.159384,90.0,top
C27_2,27.01,-35.009384,0.0,top
C27,27.01,-12.009384,0.0,top
C3_2,24.92,-28.159384,90.0,top
C3,24.92,-5.159384,90.0,top
C4_2,23.42,-28.159384,90.0,top
C4,23.42,-5.159384,90.0,top
C5_2,12.38,-6.104384,90.0,top
C5,12.38,-29.104384,90.0,top
C6_2,12.905,-38.484384,180.0,top
C6,12.905,-15.484384,180.0,top
C7_2,8.005,-35.209384,270.0,top
C7,8.005,-12.209384,270.0,top
C8_2,12.905,-37.484384,180.0,top
C8,12.905,-14.484384,180.0,top
C9_2,13.474113,-39.743768,180.0,top
C9,13.474113,-16.743768,180.0,top
FL1_2,10.905,-30.034384,315.0,top
FL1,10.905,-7.034384,315.0,top
J1_2,25.505,-1.619384,90.0,top
J1,25.505,-24.619384,90.0,top
J2_2,25.505,-42.399384,90.0,top
J2,25.505,-19.399384,90.0,top
L1_2,9.63,-36.718768,270.0,top
L1,9.63,-13.718768,270.0,top
L2_2,11.18,-14.884384,270.0,top
L2,11.18,-37.884384,270.0,top
LED1_2,33.43,-33.574384,270.0,top
LED1,33.43,-10.574384,270.0,top
R1_2,37.155,-39.159384,0.0,top
R1,37.155,-16.159384,0.0,top
R10_2,29.655,-27.849384,180.0,top
R10,29.655,-4.849384,180.0,top
R11_2,30.255,-36.791884,180.0,top
R11,30.255,-13.791884,180.0,top
R12_2,28.955,-14.916884,180.0,top
R12,28.955,-37.916884,180.0,top
R13_2,41.58,-11.409384,270.0,top
R13,41.58,-34.409384,270.0,top
R14_2,33.43,-35.999384,270.0,top
R14,33.43,-12.999384,270.0,top
R15_2,34.78,-35.999384,270.0,top
R15,34.78,-12.999384,270.0,top
R2_2,43.805,-12.284384,270.0,top
R2,43.805,-35.284384,270.0,top
R3_2,43.805,-8.209384,90.0,top
R3,43.805,-31.209384,90.0,top
R4_2,25.005,-31.634384,180.0,top
R4,25.005,-8.634384,180.0,top
R5_2,37.155,-4.859384,0.0,top
R5,37.155,-27.859384,0.0,top
R6_2,39.48,-12.409384,90.0,top
R6,39.48,-35.409384,90.0,top
R7_2,37.555,-11.984384,90.0,top
R7,37.555,-34.984384,90.0,top
R8_2,40.505,-35.409384,90.0,top
R8,40.505,-12.409384,90.0,top
R9_2,28.455,-29.684384,270.0,top
R9,28.455,-6.684384,270.0,top
SW1_2,41.287121,-16.167748,0.0,top
SW1,41.287121,-39.167748,0.0,top
SW2_2,41.299084,-4.868607,0.0,top
SW2,41.299084,-27.868607,0.0,top
U1_2,29.73,-11.784384,0.0,top
U1,29.73,-34.784384,0.0,top
U10_2,34.78,-33.574384,270.0,top
U10,34.78,-10.574384,270.0,top
U2_2,43.1275,-10.496884,270.0,top
U2,43.1275,-33.496884,270.0,top
U3_2,24.17,-30.059384,180.0,top
U3,24.17,-7.059384,180.0,top
U4_2,16.805,-10.459384,315.0,top
U4,16.805,-33.459384,315.0,top
U5_2,39.255,-32.234384,180.0,top
U5,39.255,-9.234384,180.0,top
U6_2,30.25,-29.649384,0.0,top
U6,30.25,-6.649384,0.0,top
U7_2,24.88,-37.784384,90.0,top
U7,24.88,-14.784384,90.0,top
U8_2,31.08,-15.491884,270.0,top
U8,31.08,-38.491884,270.0,top
U9_2,30.21,-32.184384,0.0,top
U9,30.21,-9.184384,0.0,top
USB1_2,47.405,-10.509384,90.0,top
USB1,47.405,-33.509384,90.0,top
X1_2,7.39,-15.489384,90.0,top
X1,7.39,-38.489384,90.0,top
