Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C891748,NX2012SA-32.768KHZ-STD-MUB-2,NDK,SMD2012-2P,,SMD2012-2P Crystals RoHS,yes,5,5,5,0.3534,1.77,https://www.lcsc.com/product-detail/C891748.html
2,C25082,0402WGF1500TCE,UNI-ROYAL,0402,,150Ω 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C25082.html
3,C3016052,SCR0402F1K18,VO,0402,,62.5mW 1.18kΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/C3016052.html
4,C852599,RT0402BRD071K13L,YAGEO,0402,,63mW 1.13kΩ 50V ±25ppm/℃ Thin Film Resistor ±0.1% 0402 Chip Resistor - Surface Mount RoHS,yes,50,50,50,0.0199,1.00,https://www.lcsc.com/product-detail/C852599.html
5,C64042,0402WGF5113TCE,UNI-ROYAL,0402,,62.5mW 511kΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/C64042.html
6,C720477,TS-1088-AR02016,XUNPU,"SMD,4x3mm",,"Without Bracket 4mm 12V 3mm Round Button SPST 50mA SMD,4x3mm Tactile Switches RoHS",yes,10,10,10,0.0440,0.44,https://www.lcsc.com/product-detail/C720477.html
7,C434450,SZYY0402Y,Yongyu Photoelectric,0402,,20mA 48mcd 586nm~588nm Yellow 2.4V 40mW 0402 LED Indication - Discrete RoHS,yes,50,50,50,0.0172,0.86,https://www.lcsc.com/product-detail/C434450.html
8,C22355736,XL-1005UBC,XINGLIGHT,0402,,20mA 240mcd 455nm~475nm Top-mount Blue 70mW 3.3V 0402 LED Indication - Discrete RoHS,yes,50,50,50,0.0069,0.35,https://www.lcsc.com/product-detail/C22355736.html
9,C97502,TPD2EUSB30DRTR,TI,SOT(9x3),,5A@8/20us 45W 8V 7V Unidirectional 5.5V SOT(9x3) TVS Diodes RoHS,yes,5,1,1,0.4857,2.43,https://www.lcsc.com/product-detail/C97502.html
10,C25905,0402WGF5101TCE,UNI-ROYAL,0402,,5.1kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/C25905.html
11,C401505,STM32WB55RGV6,ST,QFN-68-EP(8x8),,2Mbps 2.4GHz -96dBm 2.402GHz~2.48GHz QFN-68-EP(8x8) RF Transceiver ICs RoHS,yes,5,1,1,5.0334,25.17,https://www.lcsc.com/product-detail/C401505.html
12,C140288,BQ24072RGTR,TI,QFN-16-EP(3x3),,4.35V~6.6V Lithium Battery 1 1.5A QFN-16-EP(3x3) Battery Chargers ICs RoHS,yes,5,1,1,0.9680,4.84,https://www.lcsc.com/product-detail/C140288.html
13,C5219190,TPS631000DRLR,TI,SOT-583,,Buck-Boost Adjustable SOT-583 DC DC Converters RoHS,yes,5,1,1,0.5178,2.59,https://www.lcsc.com/product-detail/C5219190.html
14,C48586483,ICM-42688-PC,Tokmas,LGA-14(2.5x3),,IMU LGA-14(2.5x3) Accelerometers RoHS,yes,5,1,1,2.0211,10.11,https://www.lcsc.com/product-detail/C48586483.html
15,C22391138,BMP580,Bosch,LGA-10(2x2),,"30Kpa~1.25bar LGA-10(2x2) Pressure Sensors, Transducers - Industrial RoHS",yes,5,1,1,1.0782,5.39,https://www.lcsc.com/product-detail/C22391138.html
16,C882955,DFE252012P-1R0M=P2,muRata,1008,,1uH 4.3A 1008 Fixed Inductors RoHS,yes,5,5,5,0.1135,0.57,https://www.lcsc.com/product-detail/C882955.html
17,C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,,"1 16P -25℃~+85℃ Type-C SMD USB, DVI, HDMI Connector Assemblies RoHS",yes,10,10,10,0.0625,0.63,https://www.lcsc.com/product-detail/C2765186.html
18,C843260,NX2016SA-32MHZ-STD-CZS-5,NDK,SMD2016-4P,,SMD2016-4P Crystals RoHS,yes,5,5,5,0.2628,1.31,https://www.lcsc.com/product-detail/C843260.html
19,C2651048,MLPF-WB55-01E3,ST,"SMD-6P,1.6x1mm",,"Low Pass 0.9dB SMD-6P,1.6x1mm RF Filters RoHS",yes,5,1,1,0.4329,2.16,https://www.lcsc.com/product-detail/C2651048.html
20,C32949,CL05C100JB5NNNC,Samsung Electro-Mechanics,0402,,50V 10pF C0G ±5% 0402 Ceramic Capacitors RoHS,yes,50,50,50,0.0039,0.20,https://www.lcsc.com/product-detail/C32949.html
21,C60474,CC0402KRX7R7BB104,YAGEO,0402,,16V 100nF X7R ±10% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C60474.html
22,C1705,CL10A475KP8NNNC,Samsung Electro-Mechanics,0603,,10V 4.7uF X5R ±10% 0603 Ceramic Capacitors RoHS,yes,50,50,50,0.0051,0.26,https://www.lcsc.com/product-detail/C1705.html
23,C14445,CL05A105KP5NNNC,Samsung Electro-Mechanics,0402,,10V 1uF X5R ±10% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0017,0.17,https://www.lcsc.com/product-detail/C14445.html
24,C15195,CL05B103KB5NNNC,Samsung Electro-Mechanics,0402,,50V 10nF X7R ±10% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C15195.html
25,C361061,GRM187R61A226ME15D,muRata,0603,,10V 22uF X5R ±20% 0603 Ceramic Capacitors RoHS,yes,5,5,5,0.1421,0.71,https://www.lcsc.com/product-detail/C361061.html
26,C471380,GRM219R60J476ME44D,muRata,0805,,6.3V 47uF X5R ±20% 0805 Ceramic Capacitors RoHS,yes,5,5,5,0.1855,0.93,https://www.lcsc.com/product-detail/C471380.html
27,C170151,CL05A225KO5NQNC,Samsung Electro-Mechanics,0402,,16V 2.2uF X5R ±10% 0402 Ceramic Capacitors RoHS,yes,50,50,50,0.0062,0.31,https://www.lcsc.com/product-detail/C170151.html
