Designator,Mid X,Mid Y,Rotation,Layer
AE1,121.9,-77.990616,270.0,top
C1,130.375,-83.8,90.0,top
C10,144.1,-77.0,90.0,top
C11,144.1,-78.9,270.0,top
C12,145.425,-78.2,270.0,top
C13,131.075,-78.725,270.0,top
C14,130.05,-78.725,270.0,top
C15,140.95,-72.45,0.0,top
C16,141.175,-84.025,270.0,top
C17,140.975,-71.425,0.0,top
C18,158.75,-80.9,180.0,top
C19,147.75,-82.075,90.0,top
C2,125.8,-84.175,180.0,top
C20,152.475,-80.85,90.0,top
C21,152.95,-73.35,90.0,top
C22,147.675,-73.57,90.0,top
C23,153.418234,-82.944176,270.0,top
C24,147.75,-80.525,0.0,top
C25,157.025,-75.875,90.0,top
C26,163.025,-75.65,90.0,top
C27,147.755,-79.5,0.0,top
C3,145.665,-72.65,90.0,top
C4,144.165,-72.65,90.0,top
C5,133.125,-73.595,90.0,top
C6,133.65,-82.975,180.0,top
C7,128.75,-79.7,270.0,top
C8,133.65,-81.975,180.0,top
C9,134.219113,-84.234384,180.0,top
FL1,131.65,-74.525,315.0,top
J1,146.25,-69.11,90.0,top
J2,146.25,-86.89,90.0,top
L1,130.375,-81.209384,270.0,top
L2,131.925,-82.375,270.0,top
LED1,154.175,-78.065,270.0,top
R1,157.9,-83.65,0.0,top
R10,150.4,-72.34,180.0,top
R11,151.0,-81.2825,180.0,top
R12,149.7,-82.4075,180.0,top
R13,162.325,-78.9,270.0,top
R14,154.175,-80.49,270.0,top
R15,155.525,-80.49,270.0,top
R2,164.55,-79.775,270.0,top
R3,164.55,-75.7,90.0,top
R4,145.75,-76.125,180.0,top
R5,157.9,-72.35,0.0,top
R6,160.225,-79.9,90.0,top
R7,158.3,-79.475,90.0,top
R8,161.25,-79.9,90.0,top
R9,149.2,-74.175,270.0,top
SW1,162.032121,-83.658364,0.0,top
SW2,162.044084,-72.359223,0.0,top
U1,150.475,-79.275,0.0,top
U10,155.525,-78.065,270.0,top
U2,163.8725,-77.9875,270.0,top
U3,144.915,-74.55,180.0,top
U4,137.55,-77.95,315.0,top
U5,160.0,-76.725,180.0,top
U6,150.995,-74.14,0.0,top
U7,145.625,-82.275,90.0,top
U8,151.825,-82.9825,270.0,top
U9,150.955,-76.675,0.0,top
USB1,168.15,-78.0,90.0,top
X1,128.135,-82.98,90.0,top
